Module,Endpoint,Method,URL,Auth Required,Query Parameters,Request Body,Response Success (200),Response Error,Notes
Authentication,Login Admin,POST,/api/a/sessions/login,No,,"{ ""email"": ""admin@example.com"", ""password"": ""password123"" }","{ ""status"": true, ""data"": { ""accessToken"": ""string"", ""admin"": { ""_id"": ""string"", ""fullname"": ""string"", ""email"": ""string"", ""role"": ""string"", ""permissions"": [], ""status"": ""active"" } } }","{ ""status"": false, ""message"": ""Error message"", ""errors"": [] }",Returns JWT token
Authentication,Get Current Admin,GET,/api/a/sessions/current_admin,Yes,,,"{ ""status"": true, ""data"": { ""admin"": { ""_id"": ""string"", ""fullname"": ""string"", ""email"": ""string"", ""phone"": ""string"", ""avatar"": ""string"", ""role"": ""string"", ""permissions"": [], ""status"": ""string"", ""createdAt"": ""date"" } } }","{ ""status"": false, ""message"": ""Unauthorized"" }",Requires Bearer token
Authentication,Update Profile,PATCH,/api/a/sessions,Yes,,"{ ""fullname"": ""string"", ""phone"": ""string"", ""avatar"": ""string"", ""address"": ""string"" }","{ ""status"": true, ""data"": { ""admin"": {} } }","{ ""status"": false, ""message"": ""Error message"" }",
Authentication,Change Password,PATCH,/api/a/sessions/change_password,Yes,,"{ ""oldPassword"": ""string"", ""newPassword"": ""string"" }","{ ""status"": true, ""data"": {} }","{ ""status"": false, ""message"": ""Error message"" }",
Authentication,Forgot Password,POST,/api/a/passwords/forgot_password,No,,"{ ""email"": ""string"" }","{ ""status"": true, ""data"": {} }","{ ""status"": false, ""message"": ""Error message"" }",Sends reset email
Authentication,Verify OTP,POST,/api/a/passwords/verify_otp,No,,"{ ""email"": ""string"", ""otp"": ""string"" }","{ ""status"": true, ""data"": {} }","{ ""status"": false, ""message"": ""Invalid OTP"" }",
Authentication,Reset Password,POST,/api/a/passwords,No,"email, token","{ ""newPassword"": ""string"" }","{ ""status"": true, ""data"": {} }","{ ""status"": false, ""message"": ""Error message"" }",
FAQs,Get All FAQs,GET,/api/a/faqs,Yes,"page=1, limit=12",,"{ ""status"": true, ""data"": { ""faqs"": [ { ""_id"": ""string"", ""title"": ""string"", ""content"": ""string"", ""slug"": ""string"", ""status"": ""active"", ""createdAt"": ""date"", ""updatedAt"": ""date"" } ], ""pagination"": { ""total"": 0, ""page"": 1, ""limit"": 12 } } }","{ ""status"": false, ""message"": ""Error message"" }",Supports pagination
FAQs,Get FAQ by ID,GET,/api/a/faqs/:faqId,Yes,,,"{ ""status"": true, ""data"": { ""faq"": { ""_id"": ""string"", ""title"": ""string"", ""content"": ""string"", ""slug"": ""string"", ""status"": ""active"", ""createdAt"": ""date"" } } }","{ ""status"": false, ""message"": ""FAQ not found"" }",
FAQs,Create FAQ,POST,/api/a/faqs,Yes,,"{ ""title"": ""string"", ""content"": ""string"", ""slug"": ""string"" }","{ ""status"": true, ""data"": { ""faqs"": {} } }","{ ""status"": false, ""message"": ""Error message"" }",Slug auto-generated if not provided
FAQs,Update FAQ,PATCH,/api/a/faqs/:faqId,Yes,,"{ ""title"": ""string"", ""content"": ""string"", ""status"": ""active|inactive"", ""slug"": ""string"" }","{ ""status"": true, ""data"": { ""faq"": {} } }","{ ""status"": false, ""message"": ""Error message"" }",
FAQs,Delete FAQ,DELETE,/api/a/faqs/:faqId,Yes,,,"{ ""status"": true, ""data"": {} }","{ ""status"": false, ""message"": ""Error message"" }",
Feedbacks,Get All Feedbacks,GET,/api/a/feedbacks,Yes,"page=1, limit=12, createdBy=admin|customer",,"{ ""status"": true, ""data"": { ""feedbacks"": [ { ""_id"": ""string"", ""fullname"": ""string"", ""email"": ""string"", ""phoneNumber"": ""string"", ""avatar"": ""string"", ""position"": ""string"", ""content"": ""string"", ""createdBy"": ""admin|customer"", ""status"": ""active|inactive"", ""createdAt"": ""date"" } ], ""pagination"": { ""total"": 0, ""page"": 1, ""limit"": 12 } } }","{ ""status"": false, ""message"": ""Error message"" }",Filter by createdBy
Feedbacks,Get Feedback by ID,GET,/api/a/feedbacks/:feedbackId,Yes,,,"{ ""status"": true, ""data"": { ""feedback"": {} } }","{ ""status"": false, ""message"": ""Feedback not found"" }",
Feedbacks,Create Feedback,POST,/api/a/feedbacks,Yes,,"{ ""fullname"": ""string"", ""position"": ""string"", ""content"": ""string"", ""avatar"": ""string"" }","{ ""status"": true, ""data"": { ""feedback"": {} } }","{ ""status"": false, ""message"": ""Error message"" }",Admin created feedback
Feedbacks,Update Feedback,PATCH,/api/a/feedbacks/:feedbackId,Yes,,"{ ""fullname"": ""string"", ""content"": ""string"", ""status"": ""active|inactive"", ""position"": ""string"", ""avatar"": ""string"" }","{ ""status"": true, ""data"": { ""record"": {} } }","{ ""status"": false, ""message"": ""Error message"" }",
Feedbacks,Delete Feedback,DELETE,/api/a/feedbacks/:feedbackId,Yes,,,"{ ""status"": true, ""data"": {} }","{ ""status"": false, ""message"": ""Error message"" }",
Feedbacks,Set Active,PATCH,/api/a/feedbacks/:feedbackId/active,Yes,,,"{ ""status"": true, ""data"": {} }","{ ""status"": false, ""message"": ""Error message"" }",Quick toggle to active
Feedbacks,Set Inactive,PATCH,/api/a/feedbacks/:feedbackId/inactive,Yes,,,"{ ""status"": true, ""data"": {} }","{ ""status"": false, ""message"": ""Error message"" }",Quick toggle to inactive
Categories,Get All Categories,GET,/api/a/categories,Yes,"page=1, limit=12, type=product|blog, searchKey, status, from, to",,"{ ""status"": true, ""data"": { ""categories"": [ { ""_id"": ""string"", ""title"": ""string"", ""slug"": ""string"", ""thumbnail"": ""string"", ""type"": ""product|blog"", ""postCount"": 0, ""status"": ""active"", ""createdAt"": ""date"" } ], ""pagination"": { ""total"": 0, ""page"": 1, ""limit"": 12 } } }","{ ""status"": false, ""message"": ""Error message"" }",Supports search and filters
Categories,Get Category by ID,GET,/api/a/categories/:categoryId,Yes,,,"{ ""status"": true, ""data"": { ""category"": {} } }","{ ""status"": false, ""message"": ""Category not found"" }",
Categories,Create Category,POST,/api/a/categories,Yes,,"{ ""title"": ""string"", ""slug"": ""string"", ""thumbnail"": ""string"", ""type"": ""product|blog"" }","{ ""status"": true, ""data"": { ""category"": {} } }","{ ""status"": false, ""message"": ""Error message"" }",Slug auto-generated if not provided
Categories,Update Category,PATCH,/api/a/categories/:categoryId,Yes,,"{ ""title"": ""string"", ""thumbnail"": ""string"", ""slug"": ""string"" }","{ ""status"": true, ""data"": { ""category"": {} } }","{ ""status"": false, ""message"": ""Error message"" }",
Categories,Delete Category,DELETE,/api/a/categories/:categoryId,Yes,,,"{ ""status"": true, ""data"": {} }","{ ""status"": false, ""message"": ""Error message"" }",
Courses,Get All Courses,GET,/api/a/courses,Yes,"page=1, limit=20, searchKey, from, to, status, branch, course",,"{ ""status"": true, ""data"": { ""courses"": [ { ""_id"": ""string"", ""code"": ""string"", ""name"": ""string"", ""status"": ""active|inactive"", ""notes"": ""string"", ""createdAt"": ""date"" } ], ""pagination"": { ""total"": 0, ""page"": 1, ""limit"": 20 } } }","{ ""status"": false, ""message"": ""Error message"" }",Supports advanced filters
Courses,Get Course by ID,GET,/api/a/courses/:courseId,Yes,,,"{ ""status"": true, ""data"": { ""course"": {} } }","{ ""status"": false, ""message"": ""Course not found"" }",
Courses,Create Course,POST,/api/a/courses,Yes,,"{ ""code"": ""string"", ""name"": ""string"", ""order"": 0, ""thumbnail"": ""string"", ""link"": ""string"", ""title"": ""string"", ""shortDescription"": ""string"" }","{ ""status"": true, ""data"": { ""course"": {} } }","{ ""status"": false, ""message"": ""Error message"" }",
Courses,Update Course,PATCH,/api/a/courses/:courseId,Yes,,"{ ""name"": ""string"", ""status"": ""active|inactive"", ""order"": 0, ""thumbnail"": ""string"", ""shortDescription"": ""string"" }","{ ""status"": true, ""data"": { ""course"": {} } }","{ ""status"": false, ""message"": ""Error message"" }",
Courses,Delete Course,DELETE,/api/a/courses/:courseId,Yes,,,"{ ""status"": true, ""data"": {} }","{ ""status"": false, ""message"": ""Error message"" }",
Courses,Open Course,PATCH,/api/a/courses/open-coures,Yes,,"{ ""courseId"": ""string"" }","{ ""status"": true, ""data"": {} }","{ ""status"": false, ""message"": ""Error message"" }",Special action to open course
Products,Get All Products,GET,/api/a/products,Yes,"page=1, limit=12, categoryId, searchKey",,"{ ""status"": true, ""data"": { ""products"": [ { ""_id"": ""string"", ""name"": ""string"", ""price"": 0, ""quantityInStock"": 0, ""quantitySelled"": 0, ""status"": ""active"", ""thumbnail"": ""string"", ""createdAt"": ""date"" } ], ""pagination"": { ""total"": 0, ""page"": 1, ""limit"": 12 } } }","{ ""status"": false, ""message"": ""Error message"" }",Returns limited fields
Products,Get Product by ID,GET,/api/a/products/:productId,Yes,,,"{ ""status"": true, ""data"": { ""product"": { ""_id"": ""string"", ""name"": ""string"", ""slug"": ""string"", ""shortDescription"": ""string"", ""thumbnail"": ""string"", ""price"": 0, ""priceDiscount"": 0, ""discount"": 0, ""typeDiscount"": ""string"", ""category"": [], ""images"": [], ""quantityInStock"": 0, ""quantitySelled"": 0, ""status"": ""string"" } } }","{ ""status"": false, ""message"": ""Product not found"" }",Returns full product data
Products,Create Product,POST,/api/a/products,Yes,,"{ ""name"": ""string"", ""slug"": ""string"", ""thumbnail"": ""string"", ""shortDescription"": ""string"", ""price"": 0, ""priceDiscount"": 0, ""discount"": 0, ""category"": { ""id"": ""string"", ""name"": ""string"" }, ""images"": [], ""quantityInStock"": 0, ""showHome"": true, ""gtin"": ""string"" }","{ ""status"": true, ""data"": { ""product"": {} } }","{ ""status"": false, ""message"": ""Error message"" }",
Products,Update Product,PATCH,/api/a/products/:productId,Yes,,"{ ""name"": ""string"", ""price"": 0, ""quantityInStock"": 0, ""status"": ""active|archived|draft|out_stock"", ""category"": [], ""categoryRemove"": [] }","{ ""status"": true, ""data"": { ""product"": {} } }","{ ""status"": false, ""message"": ""Error message"" }",Updates product and categories
Products,Delete Product,DELETE,/api/a/products/:productId,Yes,,,"{ ""status"": true, ""data"": { ""status"": true } }","{ ""status"": false, ""message"": ""Error message"" }",Also deletes related reviews
Customers,Get All Customers,GET,/api/a/customers,Yes,"page=1, limit=10",,"{ ""status"": true, ""data"": { ""customers"": [], ""pagination"": { ""total"": 0, ""page"": 1, ""limit"": 10 } } }","{ ""status"": false, ""message"": ""Error message"" }",
Customers,Get Customer by ID,GET,/api/a/customers/:customerId,Yes,,,"{ ""status"": true, ""data"": { ""customer"": {} } }","{ ""status"": false, ""message"": ""Customer not found"" }",
Customers,Create Customer,POST,/api/a/customers,Yes,,"{ ""email"": ""string"", ""firstname"": ""string"", ""lastname"": ""string"", ""phone"": ""string"", ""address"": ""string"", ""city"": ""string"" }","{ ""status"": true, ""data"": { ""customer"": {} } }","{ ""status"": false, ""message"": ""Error message"" }",
Customers,Update Customer,PATCH,/api/a/customers/:customerId,Yes,,"{ ""email"": ""string"", ""firstname"": ""string"", ""phone"": ""string"" }","{ ""status"": true, ""data"": { ""customer"": {} } }","{ ""status"": false, ""message"": ""Error message"" }",
Customers,Delete Customer,DELETE,/api/a/customers/:customerId,Yes,,,"{ ""status"": true, ""data"": {} }","{ ""status"": false, ""message"": ""Error message"" }",
Customers,Delete Many,POST,/api/a/customers/deleteMany,Yes,,"{ ""ids"": [""string""] }","{ ""status"": true, ""data"": {} }","{ ""status"": false, ""message"": ""Error message"" }",Bulk delete operation
Customers,Import Customers,POST,/api/a/customers/import,Yes,,"{ ""file"": ""base64 or multipart"" }","{ ""status"": true, ""data"": {} }","{ ""status"": false, ""message"": ""Error message"" }",Import from Excel/CSV
Customers,Bulk Update,POST,/api/a/customers/bulkUpdate,Yes,,"{ ""updates"": [] }","{ ""status"": true, ""data"": {} }","{ ""status"": false, ""message"": ""Error message"" }",Update multiple customers
Health Books,Get All Health Books,GET,/api/a/health-book/all,Yes,"page=1, limit=10",,"{ ""status"": true, ""data"": { ""healthBooks"": [], ""pagination"": { ""total"": 0, ""page"": 1, ""limit"": 10 } } }","{ ""status"": false, ""message"": ""Error message"" }",
Health Books,Get Health Book by ID,GET,/api/a/health-book/:id,Yes,,,"{ ""status"": true, ""data"": { ""healthBook"": {} } }","{ ""status"": false, ""message"": ""Health book not found"" }",
Health Books,Get by Date,GET,/api/a/health-book/byDate/:customerId,Yes,date,"{ ""status"": true, ""data"": { ""healthBook"": {} } }","{ ""status"": false, ""message"": ""Error message"" }",Get health book by specific date
Health Books,Create Health Book,POST,/api/a/health-book,Yes,,"{ ""customerId"": ""string"", ""name"": ""string"", ""dob"": ""string"", ""gender"": ""string"", ""weight"": ""string"", ""height"": ""string"", ""healthCondition"": ""string"", ""domain"": ""string"" }","{ ""status"": true, ""data"": { ""healthBook"": {} } }","{ ""status"": false, ""message"": ""Error message"" }",
Health Books,Update Health Book,PATCH,/api/a/health-book/:id,Yes,,"{ ""weight"": ""string"", ""height"": ""string"", ""healthCondition"": ""string"" }","{ ""status"": true, ""data"": { ""healthBook"": {} } }","{ ""status"": false, ""message"": ""Error message"" }",
Health Books,Delete Health Book,DELETE,/api/a/health-book/:id,Yes,,,"{ ""status"": true, ""data"": {} }","{ ""status"": false, ""message"": ""Error message"" }",
Health Books,Get Comments,GET,/api/a/comments,Yes,"healthBookId",,"{ ""status"": true, ""data"": { ""comments"": [] } }","{ ""status"": false, ""message"": ""Error message"" }",Comments for health book
Health Books,Create Comment,POST,/api/a/comments,Yes,,"{ ""healthBookId"": ""string"", ""content"": ""string"" }","{ ""status"": true, ""data"": { ""comment"": {} } }","{ ""status"": false, ""message"": ""Error message"" }",
Health Books,Delete Comment,DELETE,/api/a/comments/:id,Yes,,,"{ ""status"": true, ""data"": {} }","{ ""status"": false, ""message"": ""Error message"" }",
Schedule Vaccinations,Get All Schedules,GET,/api/a/schedule-vaccin,Yes,"page=1, limit=10",,"{ ""status"": true, ""data"": { ""schedules"": [], ""pagination"": {} } }","{ ""status"": false, ""message"": ""Error message"" }",
Schedule Vaccinations,Get Schedule by ID,GET,/api/a/schedule-vaccin/:id,Yes,,,"{ ""status"": true, ""data"": { ""schedule"": {} } }","{ ""status"": false, ""message"": ""Schedule not found"" }",
Schedule Vaccinations,Create Schedule,POST,/api/a/schedule-vaccin,Yes,,"{ ""customerId"": ""string"", ""title"": ""string"", ""content"": ""string"", ""time"": ""string"", ""address"": ""string"", ""domain"": ""string"" }","{ ""status"": true, ""data"": { ""schedule"": {} } }","{ ""status"": false, ""message"": ""Error message"" }",
Schedule Vaccinations,Update Schedule,PATCH,/api/a/schedule-vaccin/:id,Yes,,"{ ""time"": ""string"", ""status"": ""string"" }","{ ""status"": true, ""data"": { ""schedule"": {} } }","{ ""status"": false, ""message"": ""Error message"" }",
Schedule Vaccinations,Delete Schedule,DELETE,/api/a/schedule-vaccin/:id,Yes,,,"{ ""status"": true, ""data"": {} }","{ ""status"": false, ""message"": ""Error message"" }",
Transactions,Get All Transactions,GET,/api/a/transactions,Yes,"page=1, limit=10",,"{ ""status"": true, ""data"": { ""transactions"": [], ""pagination"": {} } }","{ ""status"": false, ""message"": ""Error message"" }",
Transactions,Create Transaction,POST,/api/a/transactions,Yes,,"{ ""origin"": ""string"", ""type"": ""string"", ""title"": ""string"", ""total"": 0, ""status"": ""pending"" }","{ ""status"": true, ""data"": { ""transaction"": {} } }","{ ""status"": false, ""message"": ""Error message"" }",
Transactions,Update Transaction,PATCH,/api/a/transactions/:id,Yes,,"{ ""status"": ""success|denied"" }","{ ""status"": true, ""data"": { ""transaction"": {} } }","{ ""status"": false, ""message"": ""Error message"" }",
Transactions,Delete Transaction,DELETE,/api/a/transactions/:id,Yes,,,"{ ""status"": true, ""data"": {} }","{ ""status"": false, ""message"": ""Error message"" }",
Access Permissions,Get All Permissions,GET,/api/a/access-permissions,Yes,"page=1, limit=10",,"{ ""status"": true, ""data"": { ""permissions"": [] } }","{ ""status"": false, ""message"": ""Error message"" }",
Access Permissions,Create Permission,POST,/api/a/access-permissions,Yes,,"{ ""origin"": ""string"", ""type"": ""string"", ""request"": {}, ""access"": {} }","{ ""status"": true, ""data"": { ""permission"": {} } }","{ ""status"": false, ""message"": ""Error message"" }",
Access Permissions,Update Permission,PATCH,/api/a/access-permissions/:id,Yes,,"{ ""status"": ""accepted|denied"" }","{ ""status"": true, ""data"": { ""permission"": {} } }","{ ""status"": false, ""message"": ""Error message"" }",
Access Permissions,Delete Permission,DELETE,/api/a/access-permissions/:id,Yes,,,"{ ""status"": true, ""data"": {} }","{ ""status"": false, ""message"": ""Error message"" }",
Uploads,Upload File,POST,/api/uploads,No,,"multipart/form-data: { ""files"": file }","{ ""status"": true, ""data"": { ""urls"": [""string""] } }","{ ""status"": false, ""message"": ""Error message"" }",Upload to Firebase
Uploads,Upload Image,POST,/api/uploaders/image,No,,"multipart/form-data: { ""image"": file }","{ ""status"": true, ""data"": { ""url"": ""string"" } }","{ ""status"": false, ""message"": ""Error message"" }",Image specific upload
Uploads,Upload Video,POST,/api/uploaders/video,No,,"multipart/form-data: { ""video"": file }","{ ""status"": true, ""data"": { ""url"": ""string"" } }","{ ""status"": false, ""message"": ""Error message"" }",Video specific upload

